images,la_eterna,other_flower
img_00,0.0036803265,0.9963196
img_01,0.00037822936,0.9996218
img_02,0.014900882,0.98509914
img_03,0.002870214,0.9971298
img_04,0.008960839,0.99103916
img_05,0.0047778017,0.99522215
img_06,0.024541069,0.97545886
img_07,1.0366387e-05,0.99998957
img_08,0.0014114293,0.99858844
img_09,0.066200726,0.9337993
img_10,0.013015589,0.9869844
img_11,0.009788072,0.9902119
img_12,0.32632965,0.6736704
img_13,0.0030169599,0.99698305
img_14,0.11977708,0.8802229
img_15,0.14350735,0.8564926
img_16,0.010254548,0.98974544
img_17,0.632989,0.367011
img_18,0.007406568,0.99259347
img_19,0.99993163,6.831809e-05
img_20,0.03135665,0.96864325
img_21,0.0017264822,0.99827355
img_22,0.024636444,0.9753635
img_23,0.05114746,0.94885254
img_24,8.412862e-05,0.9999158
img_25,0.029229967,0.97077
img_26,0.0052314065,0.99476856
img_27,0.0014552583,0.99854475
img_28,0.0009992268,0.9990006
img_29,0.06188141,0.93811864
img_30,0.0036217028,0.9963783
img_31,0.031859457,0.96814054
img_32,0.00010616258,0.9998937
img_33,0.00013542133,0.9998646
img_34,0.025798272,0.9742018
img_35,0.010703285,0.9892967
img_36,7.4944495e-05,0.99992496
img_37,8.762641e-05,0.9999123
img_38,0.061788443,0.93821156
img_39,3.0565815e-07,0.9999996
img_40,0.001301509,0.9986985
img_41,0.97947377,0.020526236
img_42,0.24839261,0.7516075
img_43,0.0011524366,0.99884766
img_44,0.0017742052,0.9982257
img_45,0.03874147,0.96125853
img_46,8.77644e-05,0.9999122
img_47,0.0016017879,0.99839824
img_48,2.4077568e-05,0.99997586
img_49,0.002574512,0.9974255
img_50,0.0013640774,0.99863595
img_51,0.0017764677,0.99822354
img_52,0.0114753675,0.9885247
img_53,0.007095239,0.9929048
img_54,0.034692526,0.96530753
img_55,0.0013178274,0.99868226
img_56,0.005712236,0.9942878
img_57,0.5588196,0.4411804
img_58,0.012699138,0.9873009
img_59,0.9946127,0.005387257
img_60,0.0019023934,0.99809754
img_61,0.013310842,0.98668915
img_62,0.017733552,0.9822665
img_63,0.0013725341,0.9986275
img_64,0.03036877,0.96963114
img_65,0.00015136923,0.9998486
img_66,0.035449438,0.9645507
img_67,0.66187567,0.33812428
img_68,0.40740073,0.5925992
img_69,0.1355277,0.8644722
img_70,0.14850038,0.8514996
img_71,0.01784817,0.98215187
img_72,0.015433065,0.984567
img_73,0.10946763,0.8905323
img_74,0.00014166361,0.9998584
img_75,0.0019154542,0.99808455
img_76,0.03104563,0.9689544
img_77,0.021089863,0.97891
img_78,0.018430144,0.9815698
img_79,0.033965066,0.96603495
img_80,0.031097822,0.9689022
img_81,0.00018346979,0.99981666
img_82,0.00022669316,0.99977326
img_83,6.715318e-05,0.9999328
img_84,0.074190676,0.92580926
img_85,0.067898415,0.9321016
img_86,0.047344178,0.9526558
img_87,0.0325331,0.96746683
img_88,0.018572377,0.98142755
img_89,0.0090862075,0.9909136
img_90,0.00025916492,0.99974084
img_91,0.014662705,0.9853374
img_92,0.10396145,0.8960386
img_93,0.51945156,0.48054847
img_94,0.0050592464,0.99494064
img_95,0.061488707,0.9385113
img_96,0.033296574,0.9667035
img_97,0.03601829,0.9639817
img_98,0.00042604722,0.999574
img_99,0.0014092729,0.99859065
